wi_sample	seq_sample	total_sites	concordant	discordant	concordance_rate
QG4233	JU1346	8573	684	7889	0.079785372681675
QG4233	JU1348	20887	18745	2142	0.897448173505051
QG4233	JU2472	32675	2304	30371	0.0705126243305279
QG4233	NIC1052	16816	1899	14917	0.112928163653663
QG4233	NIC1645	22752	8799	13953	0.386735232067511
QG4233	NIC1667	21424	8309	13115	0.387836071695295
QG4233	NIC827	11704	4262	7442	0.364149008885851
QG4233	NIC828	12086	4111	7975	0.340145623034916
QG4233	PE887	21151	1008	20143	0.0476573211668479
QG4233	QG2908	21982	20713	1269	0.942270948958239
QG4233	QG4097	23835	1220	22615	0.0511852318019719
QG4233	QG4233	36547	36502	45	0.998768708785947
QG4233	QX1410	27239	41	27198	0.0015051947575168
QG4233	VT847	8189	467	7722	0.0570277201123458
QX1410	AF16	0	0	0	
QX1410	BRC20232	0	0	0	
QX1410	ECA1657	0	0	0	
QX1410	ECA2115	0	0	0	
QX1410	ECA2299	0	0	0	
QX1410	ECA2667	1	0	1	0
QX1410	EG6260	0	0	0	
QX1410	EG6267	0	0	0	
QX1410	EG6271	0	0	0	
QX1410	JU1346	0	0	0	
QX1410	JU1348	0	0	0	
QX1410	JU2472	0	0	0	
QX1410	NIC1052	0	0	0	
QX1410	NIC1645	0	0	0	
QX1410	NIC1667	0	0	0	
QX1410	NIC827	0	0	0	
QX1410	NIC828	0	0	0	
QX1410	PE887	0	0	0	
QX1410	QG2908	0	0	0	
QX1410	QG4097	0	0	0	
QX1410	QG4233	0	0	0	
QX1410	QX1410	1	1	0	1
QX1410	VT847	0	0	0	
VT847	AF16	2966	1681	1285	0.566756574511126
VT847	BRC20232	3595	1760	1835	0.489568845618915
VT847	ECA1657	4794	3082	1712	0.642886942010847
VT847	ECA2115	1421	911	510	0.64109781843772
VT847	ECA2299	1388	629	759	0.453170028818444
VT847	ECA2667	2160	1300	860	0.601851851851852
VT847	EG6260	3360	1296	2064	0.385714285714286
VT847	EG6267	2280	1126	1154	0.493859649122807
VT847	EG6271	3012	1174	1838	0.389774236387782
VT847	JU1346	1033	467	566	0.452081316553727
VT847	JU1348	1764	870	894	0.493197278911565
VT847	JU2472	5274	2690	2584	0.510049298445203
VT847	NIC1052	2604	1030	1574	0.395545314900154
VT847	NIC1645	3250	1607	1643	0.494461538461539
